Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol,Open,High,Low
1/2/19,3.76,3.76,0.01,0.2,3.76,3.76,776128.00,104724,3.75,3.78,3.74
12/31/18,3.74,3.75,0,-0.13,3.74,3.75,773016.00,91126,3.76,3.77,3.73
12/28/18,3.75,3.76,0.01,0.27,3.75,3.75,771271.00,89172,3.75,3.78,3.75
12/27/18,3.75,3.75,0.01,0.33,3.75,3.75,777988.00,96243,3.73,3.77,3.73
12/26/18,3.73,3.73,-0.04,-1.19,3.73,3.73,784169.00,97146,3.78,3.79,3.73
12/24/18,3.78,3.78,-0.01,-0.2,3.78,3.78,785574.00,54836,3.78,3.79,3.75
12/21/18,3.79,3.79,0.03,0.87,3.79,3.79,793213.00,138729,3.76,3.8,3.75
12/20/18,3.76,3.75,-0.06,-1.7,3.75,3.76,799148.00,205496,3.82,3.83,3.75
12/19/18,3.82,3.82,-0.04,-0.97,3.82,3.82,806396.00,107244,3.85,3.85,3.82
12/18/18,3.85,3.86,0.02,0.39,3.85,3.86,816690.00,131884,3.84,3.87,3.83
12/17/18,3.84,3.84,-0.01,-0.19,3.84,3.84,820584.00,97615,3.84,3.86,3.83
12/14/18,3.85,3.85,0.01,0.13,3.85,3.85,828024.00,154366,3.84,3.88,3.83
12/13/18,3.84,3.84,-0.01,-0.26,3.84,3.84,832849.00,145487,3.85,3.86,3.83
12/12/18,3.85,3.85,0,0.13,3.85,3.85,836339.00,185150,3.85,3.88,3.84
12/11/18,3.85,3.85,0.01,0.2,3.85,3.85,834340.00,151447,3.83,3.86,3.81
12/10/18,3.83,3.84,-0.02,-0.39,3.83,3.84,840999.00,128718,3.85,3.86,3.83
12/7/18,3.85,3.86,0.03,0.72,3.85,3.85,845905.00,113297,3.83,3.86,3.82
12/6/18,3.83,3.83,-0.02,-0.52,3.83,3.83,844015.00,178902,3.84,3.85,3.8
12/4/18,3.85,3.85,0.03,0.72,3.85,3.85,853021.00,144965,3.81,3.85,3.8
12/3/18,3.82,3.82,0.04,1.13,3.81,3.82,849760.00,186631,3.84,3.85,3.81
11/30/18,3.77,3.78,0.04,1.21,3.77,3.77,845033.00,206177,3.73,3.78,3.73
11/29/18,3.73,3.73,0,0,3.73,3.74,810858.00,250841,3.73,3.76,3.72
11/28/18,3.74,3.73,0.17,4.7,3.74,3.74,796212.00,303497,3.69,3.74,3.68
11/27/18,3.56,3.57,0,0.14,3.56,3.56,253139.00,248125,3.56,3.59,3.56
11/26/18,3.56,3.56,-0.03,-0.84,3.56,3.56,328719.00,331200,3.6,3.61,3.55
11/23/18,3.59,3.59,-0.03,-0.76,3.59,3.6,405968.00,174044,3.61,3.62,3.59
11/21/18,3.61,3.62,0.01,0.14,3.61,3.62,434304.00,184082,3.61,3.63,3.6
11/20/18,3.61,3.61,-0.01,-0.28,3.61,3.62,453259.00,146930,3.63,3.64,3.61
11/19/18,3.63,3.62,-0.02,-0.69,3.63,3.63,476149.00,179457,3.65,3.66,3.61
11/16/18,3.65,3.65,-0.03,-0.75,3.65,3.65,506944.00,180968,3.67,3.69,3.63
11/15/18,3.67,3.68,0,0.14,3.67,3.67,531441.00,182150,3.67,3.72,3.67
11/14/18,3.67,3.67,0,0.14,3.67,3.67,549175.00,121770,3.66,3.68,3.66
11/13/18,3.66,3.67,-0.05,-1.28,3.66,3.66,569719.00,178859,3.7,3.71,3.66
11/12/18,3.7,3.71,0.02,0.41,3.7,3.7,602004.00,176017,3.69,3.73,3.68
11/9/18,3.69,3.7,-0.04,-1,3.69,3.7,620925.00,212422,3.73,3.74,3.68
11/8/18,3.73,3.74,0.01,0.34,3.73,3.74,641768.00,432338,3.72,3.79,3.66
11/7/18,3.72,3.72,-0.01,-0.27,3.72,3.72,678694.00,233522,3.72,3.73,3.71
11/6/18,3.73,3.73,-0.01,-0.2,3.73,3.73,689532.00,206076,3.74,3.75,3.72
11/5/18,3.74,3.74,0.03,0.74,3.74,3.74,710367.00,191618,3.71,3.74,3.7
11/2/18,3.71,3.71,0.04,1.23,3.71,3.71,725622.00,242629,3.66,3.73,3.65
11/1/18,3.66,3.67,0.04,0.96,3.66,3.66,734203.00,304754,3.63,3.71,3.63
10/31/18,3.63,3.63,-0.02,-0.41,3.63,3.64,738101.00,163231,3.65,3.65,3.63
10/30/18,3.65,3.65,-0.02,-0.55,3.65,3.65,743666.00,137331,3.67,3.68,3.64
10/29/18,3.68,3.67,-0.01,-0.27,3.67,3.68,751884.00,142746,3.68,3.72,3.66
10/26/18,3.69,3.68,0.07,1.87,3.68,3.69,761058.00,220034,3.62,3.7,3.62
10/25/18,3.62,3.61,-0.07,-1.97,3.62,3.62,758911.00,262813,3.68,3.68,3.61
10/24/18,3.68,3.68,-0.02,-0.54,3.68,3.68,764298.00,114262,3.7,3.7,3.68
10/23/18,3.7,3.7,0.01,0.2,3.7,3.7,768674.00,136626,3.69,3.73,3.68
10/22/18,3.7,3.7,0.02,0.68,3.69,3.7,772232.00,140542,3.66,3.71,3.66
10/19/18,3.66,3.67,-0.04,-1.01,3.66,3.67,775227.00,165329,3.71,3.71,3.66
10/18/18,3.7,3.71,-0.04,-0.94,3.7,3.7,780678.00,137274,3.73,3.73,3.7
10/17/18,3.74,3.74,-0.01,-0.27,3.74,3.74,785720.00,106446,3.75,3.76,3.73
10/16/18,3.75,3.75,-0.03,-0.79,3.75,3.75,803377.00,185899,3.77,3.78,3.74
10/15/18,3.77,3.78,0.05,1.2,3.77,3.77,819715.00,227938,3.73,3.79,3.72
10/12/18,3.73,3.74,0.04,1.22,3.73,3.74,836490.00,185821,3.69,3.74,3.69
10/11/18,3.69,3.69,0.06,1.79,3.69,3.69,840206.00,233116,3.62,3.73,3.6
10/10/18,3.62,3.63,-0.02,-0.48,3.62,3.62,845705.00,121039,3.65,3.65,3.62
10/9/18,3.65,3.65,-0.02,-0.55,3.65,3.65,854600.00,119567,3.67,3.68,3.64
10/8/18,3.67,3.67,-0.02,-0.48,3.67,3.67,861187.00,122012,3.69,3.7,3.64
10/5/18,3.68,3.68,0.01,0.2,3.68,3.68,873355.00,204815,3.68,3.7,3.63
10/4/18,3.68,3.68,0.03,0.75,3.68,3.68,873493.00,130828,3.65,3.69,3.65
10/3/18,3.65,3.65,-0.03,-0.75,3.65,3.65,885757.00,139279,3.68,3.69,3.65
10/2/18,3.68,3.68,0.02,0.48,3.67,3.68,894214.00,206146,3.65,3.69,3.63
10/1/18,3.66,3.66,0.1,2.67,3.66,3.66,900938.00,214369,3.57,3.67,3.57
09/28/18,3.57,3.56,-0.08,-2.33,3.57,3.57,914743.00,237213,3.65,3.67,3.55
09/27/18,3.65,3.65,0.02,0.48,3.65,3.65,923039.00,113909,3.63,3.66,3.61
09/26/18,3.62,3.63,-0.01,-0.21,3.62,3.62,936495.00,137900,3.64,3.65,3.61
09/25/18,3.64,3.64,0.03,0.9,3.64,3.64,947824.00,187874,3.6,3.64,3.58
09/24/18,3.61,3.61,0.03,0.91,3.61,3.61,956496.00,148370,3.57,3.62,3.56
09/21/18,3.58,3.57,0.05,1.35,3.58,3.58,965477.00,156113,3.53,3.58,3.52
09/20/18,3.52,3.53,0.07,1.95,3.52,3.53,975614.00,266804,3.45,3.56,3.45
09/19/18,3.45,3.46,0.02,0.73,3.45,3.46,967939.00,151074,3.43,3.47,3.43
09/18/18,3.43,3.43,-0.05,-1.36,3.43,3.43,963646.00,199080,3.48,3.49,3.43
09/17/18,3.48,3.48,-0.04,-1.07,3.48,3.48,959833.00,145271,3.51,3.52,3.48
09/14/18,3.52,3.52,0.01,0.36,3.52,3.52,965107.00,138241,3.51,3.53,3.5
09/13/18,3.51,3.51,-0.02,-0.57,3.51,3.51,965307.00,232234,3.55,3.56,3.49
